pickup_timestring,pickup_timestring_month,pickup_timestring_day,Passenger_count,Trip_distance,Total_amount,response_variable
06/12/2016,06,12,67568,148714.3799999993,722620.0000002299,48480
06/13/2016,06,13,50385,106451.61000000002,551112.8099998347,37941
06/14/2016,06,14,50836,106105.76000000043,571204.7299998935,37737
06/15/2016,06,15,56825,116904.22000000041,637574.4300000111,42177
06/16/2016,06,16,61928,130307.30000000013,707044.9700001673,45686
06/17/2016,06,17,71084,149135.20999999874,796310.0700003719,52327
06/18/2016,06,18,84386,183677.11999999644,917346.3200006178,60909
06/19/2016,06,19,73315,162100.00000000163,782436.610000373,52528
06/20/2016,06,20,51161,108542.65999999957,569242.4099998937,38499
06/21/2016,06,21,52901,109718.40999999993,591937.7099999196,39289
06/22/2016,06,22,56279,116398.39999999956,635527.9300000379,41869
06/23/2016,06,23,61091,125470.40999999891,681536.5000001163,45032
06/24/2016,06,24,68580,142803.08999999994,771705.3800003207,50677
06/25/2016,06,25,81539,179813.1100000005,898196.1000005506,58952
06/26/2016,06,26,70877,161433.94000000015,784668.8800003382,51363
06/27/2016,06,27,53732,112761.02000000035,588978.9399999421,39832
06/28/2016,06,28,50444,103470.85999999919,556687.9299998631,37497
06/29/2016,06,29,51045,106887.81999999989,574633.3799999015,38168
06/30/2016,06,30,57060,122633.76999999983,662007.8500000701,42425
07/01/2016,07,01,65050,135366.53000000064,720248.1900002313,48322
07/02/2016,07,02,63570,141278.76999999906,682124.9500001144,46427
07/03/2016,07,03,56707,126617.62000000005,599274.3299999501,41278
07/04/2016,07,04,51951,115549.21000000024,568536.3599998999,37722
07/05/2016,07,05,48966,103176.22999999969,532343.0099998121,36540
07/06/2016,07,06,39620,84635.6099999995,437149.4199998384,30339
07/07/2016,07,07,52002,108393.91000000032,578297.3499998893,39134
07/08/2016,07,08,61784,127805.28000000068,688047.3700001158,45842
07/09/2016,07,09,72682,156814.3999999991,781692.6600003137,52710
07/10/2016,07,10,62039,138260.1099999999,668730.3500001148,44746
07/11/2016,07,11,45841,97469.15999999981,510231.45999980666,34316
07/12/2016,07,12,46779,97952.86999999995,525957.8899998078,34946
07/13/2016,07,13,52337,108916.33000000089,584287.149999918,38870
07/14/2016,07,14,56542,116966.36000000025,634524.4300000294,42025
07/15/2016,07,15,65729,138778.5899999997,747969.2400002583,48453
07/16/2016,07,16,77892,169604.54000000047,853816.3800004752,56296
07/17/2016,07,17,66405,147988.6499999996,715913.6300002034,48064
07/18/2016,07,18,50555,105346.72000000015,552508.2999998596,37181
07/19/2016,07,19,47606,98600.69999999927,535486.3599998236,35325
07/20/2016,07,20,51046,107186.34000000037,572014.4999998976,37829
07/21/2016,07,21,56310,116695.30000000006,635384.3200000273,41383
07/22/2016,07,22,66188,139687.71999999962,743681.1900002374,48816
07/23/2016,07,23,75637,166431.77999999703,827988.4500004018,54436
07/24/2016,07,24,64618,145960.6600000011,703206.3300001874,46205
07/25/2016,07,25,51245,106693.83000000057,565290.7399998868,37987
07/26/2016,07,26,49594,104401.49999999959,557115.5299998652,36576
07/27/2016,07,27,52684,109267.6700000001,575980.1399999012,38636
07/28/2016,07,28,58555,120206.10999999967,645516.6200000551,42979
07/29/2016,07,29,64660,135069.03000000012,724107.670000218,47642
07/30/2016,07,30,79203,165784.42000000068,844619.7000004454,56753
07/31/2016,07,31,62936,136116.11000000036,665704.7400001154,44732
08/01/2016,08,01,48736,103303.69000000031,531511.0099998105,35850
08/02/2016,08,02,50052,105243.74999999958,550555.4099998479,37003
08/03/2016,08,03,52490,109926.72000000069,582135.7699999078,38862
08/04/2016,08,04,56897,121294.33999999927,634833.4900000064,41787
08/05/2016,08,05,63129,132858.76999999827,694069.1500001511,46396
08/06/2016,08,06,73739,158999.0399999987,782790.4300003366,52693
08/07/2016,08,07,62715,139731.34000000046,670063.6300001125,44964
08/08/2016,08,08,44959,95833.83000000045,490897.8099998111,33379
08/09/2016,08,09,47644,100623.68000000065,518733.36999980523,34940
08/10/2016,08,10,52074,106403.64999999979,557068.2599998601,38044
08/11/2016,08,11,57447,119222.86999999984,635005.7000000235,42518
08/12/2016,08,12,66264,137520.4200000005,729763.2100002276,48939
08/13/2016,08,13,76544,161283.49000000025,807975.0100003819,55274
08/14/2016,08,14,62210,137031.52999999994,659270.7300000921,45042
08/15/2016,08,15,48013,100645.9499999996,518113.79999979475,35342
08/16/2016,08,16,48416,98908.08999999939,517506.19999979745,35548
08/17/2016,08,17,50274,104743.63999999955,547936.329999846,36971
08/18/2016,08,18,53248,112423.30999999963,593089.2599999422,39257
08/19/2016,08,19,62451,134024.90000000008,705317.2200001741,46438
08/20/2016,08,20,72335,157928.12000000098,780116.6700003267,51976
08/21/2016,08,21,62346,137312.64000000086,666807.4500001116,44883
08/22/2016,08,22,43386,93610.73999999958,481292.09999982035,32071
08/23/2016,08,23,43511,90780.54000000024,475653.72999982006,32399
08/24/2016,08,24,46258,97149.70000000046,507604.9999998057,34444
08/25/2016,08,25,51443,107352.25000000131,565963.8199998798,37930
08/26/2016,08,26,56543,118428.57000000066,623877.2799999976,42258
08/27/2016,08,27,65701,141784.25000000067,710590.7600001618,47699
08/28/2016,08,28,55704,124055.98000000049,600801.2099999569,40702
08/29/2016,08,29,41310,88682.92999999883,452065.2199998346,30704
08/30/2016,08,30,40100,86587.54000000059,449894.59999984124,30338
08/31/2016,08,31,43850,93343.56999999975,487289.9099998231,33024
09/01/2016,09,01,50614,104881.87999999934,555696.5199998559,37645
09/02/2016,09,02,54773,117383.89999999896,607884.2699999592,40663
09/03/2016,09,03,57149,127927.41000000092,615864.7799999621,41460
09/04/2016,09,04,50740,115370.2399999993,550517.5099998413,36926
09/05/2016,09,05,39123,91904.66000000031,435439.7599998542,28977
09/06/2016,09,06,42608,90625.22999999864,476173.4399998226,32289
09/07/2016,09,07,46017,95582.78999999998,515071.00999981177,34362
09/08/2016,09,08,51121,108390.70000000062,582426.6699999041,38237
09/09/2016,09,09,59498,120935.30999999944,664352.5800000741,44445
09/10/2016,09,10,69374,150255.10000000006,760012.4600002677,50782
09/11/2016,09,11,56399,127480.24999999997,619993.3599999965,41266
09/12/2016,09,12,34239,75955.10999999991,387722.3199998667,26304
09/13/2016,09,13,42140,87018.08000000013,473056.1899998253,31938
09/14/2016,09,14,48513,97207.26000000005,541743.0599998325,36819
09/15/2016,09,15,51426,104084.36999999998,572541.6899998924,38601
09/16/2016,09,16,57638,118674.12,644879.8200000469,43180
09/17/2016,09,17,68481,149167.71999999974,766578.4700002631,50595
09/18/2016,09,18,56728,125450.63000000006,621961.6600000183,41573
09/19/2016,09,19,44902,92457.45000000007,503927.66999980726,34034
09/20/2016,09,20,44362,91520.03000000033,497663.5299998139,33684
09/21/2016,09,21,46005,96059.2100000003,520526.23999980796,35084
09/22/2016,09,22,51282,107837.17000000014,579939.8199999013,38391
09/23/2016,09,23,59237,121361.91000000044,672624.5100000912,44341
09/24/2016,09,24,69569,152015.63000000073,776130.5700003016,50841
09/25/2016,09,25,56011,125046.88999999897,615384.2000000011,40956
09/26/2016,09,26,42851,87658.44999999981,464084.1599998259,32165
09/27/2016,09,27,43754,87125.79999999893,473856.7799998276,32410
09/28/2016,09,28,49547,96198.14999999962,529471.9199998089,36812
09/29/2016,09,29,52259,101406.97000000093,564873.8799998795,38613
09/30/2016,09,30,65483,125329.21999999892,719235.2800002209,48980
10/01/2016,10,01,69029,151354.3900000006,761097.8900002792,50873
10/02/2016,10,02,56916,129728.87999999979,632009.080000018,41637
10/03/2016,10,03,41581,85613.92999999947,436361.0199998342,30983
10/04/2016,10,04,41412,83043.830000001,436729.90999984223,31040
10/05/2016,10,05,48136,96995.0399999998,524036.9099998052,35949
10/06/2016,10,06,51920,106482.70999999957,585221.8399999345,38825
10/07/2016,10,07,59973,121412.46999999977,669486.1300000935,44613
10/08/2016,10,08,73952,153431.9500000008,786793.2100003418,53161
10/09/2016,10,09,59155,126764.29999999964,626024.7700000195,42916
10/10/2016,10,10,38609,80948.07000000065,401065.1699998523,28695
10/11/2016,10,11,44472,88037.07999999958,474872.2399998188,33229
10/12/2016,10,12,42836,87602.55999999976,451863.6599998356,31784
10/13/2016,10,13,51870,102745.5600000008,570299.1999998969,38542
10/14/2016,10,14,59950,120058.92999999934,668050.3600000964,44966
10/15/2016,10,15,71173,148219.6599999998,764334.6200003013,51664
10/16/2016,10,16,58130,126246.75999999967,619932.7900000185,42091
10/17/2016,10,17,42602,87316.38000000038,456224.7399998318,31799
10/18/2016,10,18,45147,90382.07000000081,482229.5099998196,33411
10/19/2016,10,19,48110,97003.53999999988,525519.2899998033,35911
10/20/2016,10,20,53217,106042.0700000006,582148.619999916,39205
10/21/2016,10,21,62610,121183.14999999959,677806.1500001218,46276
10/22/2016,10,22,72167,144851.9800000015,743112.4700002576,52160
10/23/2016,10,23,56177,121277.16000000031,602945.0499999726,41260
10/24/2016,10,24,44730,87258.52000000021,464024.0899998242,32843
10/25/2016,10,25,49202,94401.19000000047,511452.79999980336,35734
10/26/2016,10,26,50353,96798.82000000011,535526.3999998232,37347
10/27/2016,10,27,58001,106469.66999999998,616980.1399999805,42928
10/28/2016,10,28,63165,121884.97999999959,685540.3300001445,46910
10/29/2016,10,29,71738,152087.90999999995,775195.840000283,52386
10/30/2016,10,30,66474,144368.96999999922,721127.7000002662,47707
10/31/2016,10,31,48099,93324.75000000028,505007.1399998012,35727
11/01/2016,11,01,48954,95525.00999999991,522717.66999979725,36155
11/02/2016,11,02,47726,93092.66000000041,510216.239999809,35388
11/03/2016,11,03,53226,104030.07000000008,569382.6799998829,39459
11/04/2016,11,04,61268,118964.61999999998,661351.4400000762,45295
11/05/2016,11,05,68244,140248.23999999845,722937.0000002055,49691
11/06/2016,11,06,56454,115398.78999999995,586536.6099999434,40691
11/07/2016,11,07,43739,84979.94999999944,460515.18999982544,32507
11/08/2016,11,08,40793,79618.57999999967,419004.01999984996,30389
11/09/2016,11,09,48787,95686.81000000013,531802.0999998231,36401
11/10/2016,11,10,51447,100775.87999999967,565276.0699998869,38427
11/11/2016,11,11,58746,112742.97999999947,598282.8499999414,43210
11/12/2016,11,12,66679,135494.99000000054,692925.5700001473,48187
11/13/2016,11,13,54863,117580.7900000005,585355.9699999384,40236
11/14/2016,11,14,43970,88282.97000000023,475210.4499998216,32689
11/15/2016,11,15,48119,89250.48000000014,499636.5599998088,35589
11/16/2016,11,16,47798,91917.13999999994,516624.8899998033,35690
11/17/2016,11,17,52353,100399.62000000017,564844.239999884,38621
11/18/2016,11,18,60877,119378.07999999789,661989.9200000854,45088
11/19/2016,11,19,70436,139801.6599999985,729889.9300002434,51113
11/20/2016,11,20,59386,116330.06000000004,589724.0699999429,42889
11/21/2016,11,21,48080,90208.4999999996,499232.06999980495,35840
11/22/2016,11,22,50384,95286.46000000018,540159.3699998327,37365
11/23/2016,11,23,53297,103019.93999999977,579981.8199999323,39361
11/24/2016,11,24,47333,102668.8499999998,491072.18999979645,34367
11/25/2016,11,25,41502,83308.55000000044,422790.13999983657,30693
11/26/2016,11,26,50221,100307.67,501605.1499997896,36675
11/27/2016,11,27,46698,92391.03999999986,458763.1599998169,33876
11/28/2016,11,28,40658,78647.26000000045,429119.43999984214,30403
11/29/2016,11,29,46397,83551.18999999983,483105.1199998153,34598
11/30/2016,11,30,50534,90051.93000000066,520610.3899997946,37321
12/01/2016,12,01,53533,98827.71000000036,556780.8499998567,39540
12/02/2016,12,02,61516,116793.04999999958,649108.6300000665,45576
12/03/2016,12,03,69341,136166.1299999991,707987.0800001721,50209
12/04/2016,12,04,54730,112039.59999999977,561127.2999998775,39922
12/05/2016,12,05,45268,84508.8099999998,467102.279999821,33427
12/06/2016,12,06,53404,92738.58999999981,533405.3099998048,39221
12/07/2016,12,07,49445,92784.73000000081,517911.5899998002,36563
12/08/2016,12,08,54091,101145.67999999977,570023.1499998936,39861
12/09/2016,12,09,65798,121263.25000000064,680760.7000001355,48307
12/10/2016,12,10,71726,142593.04999999935,748476.3700002388,52296
12/11/2016,12,11,55952,114345.40999999981,578682.7099999238,40533
12/12/2016,12,12,45813,88894.97999999991,484141.4599998143,33899
12/13/2016,12,13,47144,88727.85999999937,493362.7899998117,34984
12/14/2016,12,14,52232,96784.51000000071,543358.9899998321,38574
12/15/2016,12,15,62826,111393.26000000189,638883.4400000407,46087
12/16/2016,12,16,69311,131247.2799999998,734804.8000002513,51133
12/17/2016,12,17,66419,134477.3000000006,686452.4700001387,48264
12/18/2016,12,18,58224,117938.51000000072,592354.8799999492,42249
12/19/2016,12,19,51104,96008.08999999936,522663.25999978563,37711
12/20/2016,12,20,51462,96710.27000000101,539872.1999998272,37990
12/21/2016,12,21,53059,102698.96000000037,558424.5999998681,38920
12/22/2016,12,22,55038,108033.67000000014,587768.9699999373,40663
12/23/2016,12,23,58176,116319.19000000058,623601.230000042,43206
12/24/2016,12,24,55955,111496.09999999902,550373.4099998238,40745
12/25/2016,12,25,36572,77426.66000000034,363851.89999986766,26502
12/26/2016,12,26,31816,63950.569999999716,312557.8499998973,23392
12/27/2016,12,27,35943,69480.79999999961,361113.6899998734,26384
12/28/2016,12,28,41449,77568.6399999998,411146.5999998426,30525
12/29/2016,12,29,42282,78320.15000000047,414053.499999838,31432
12/30/2016,12,30,53606,99277.13000000124,525195.2099997647,39398
12/31/2016,12,31,64615,125104.94999999978,620653.0699999904,46645
